FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
46089,133.57264150943396,93663480.0,3,13
01007,159.95774021352312,832998197.0,5,41
51520,190.44330199764983,1997766426.0,7,76
40029,112.02728613569322,193778479.0,2,18
C1550,287.26483050847457,14078074047.0,22,314
20023,115.06453804347827,128387380.0,2,11
51125,165.51426174496643,634481372.0,7,38
46065,242.12969367588931,2576158067.0,7,67
72047,132.3922064777328,356639542.0,6,40
22033,501.0278581765557,102705617299.0,63,1061
05125,242.52502175805049,4776950722.0,14,133
55075,187.68801867219918,4267617383.0,11,128
34027,755.72881785895481,177263428588.0,76,1194
C3182,755.5,1300830398.0,1816,33111
29139,131.94540727902947,507850900.0,5,31
13159,108.79787234042553,291507745.0,3,25
C4742,715.5,369300342.0,854,9914
01109,189.34482758620689,2801280598.0,8,108
C2520,742.25,515389713.0,1793,13360
72031,196.96301652892561,8553980234.0,15,308
05081,148.46855983772821,850074345.0,4,38
08057,123.07865168539325,93227357.0,2,10
27039,141.2076740506329,1151145066.0,6,49
51620,135.85384615384615,723832300.0,5,39
50017,178.16863075196409,1842615231.0,8,60
CS352,742.75,5484216771.0,8295,141932
C1026,365.5,35250520.0,239,1856
CS178,925.0,47824377756.0,53033,994671
20005,122.62926330150069,1035274120.0,5,44
27173,138.45606326889279,701013598.0,5,38
50027,313.64950038431977,6882024875.0,15,133
51069,223.28395585738539,7268721714.0,12,157
27133,148.70544090056285,685699042.0,5,39
29205,144.07764705882352,278192214.0,4,26
22085,149.89222972972973,986086723.0,6,40
47039,137.171875,778136058.0,4,50
51023,192.41637529137529,2285133156.0,8,72
54017,118.4953125,248723236.0,3,20
21191,112.65243902439025,412020991.0,3,22
29171,92.870028409090907,121757827.0,3,13
C3946,280.54964816262708,10251959596.0,30,245
CS546,670.5,6603013672.0,12209,189378
54091,144.24242424242425,510177906.0,4,30
48109,143.6854103343465,192604153.0,2,19
18151,173.79183366733466,3167289986.0,8,104
53021,266.36535234899327,7597608635.0,22,183
38069,120.6091628959276,312615869.0,3,20
CS394,684.25,1472525020.0,2101,41372
28041,133.75975975975976,263087774.0,4,28
36999,888.68054024255787,102343512830.0,141,671
13217,214.80560704355884,5253438423.0,12,134
C1790,306.52072685973877,80339215494.0,84,1153
27015,154.11908783783784,3099975194.0,8,101
39037,186.55893186003684,4119615311.0,10,114
